id,name_series,airing_date
84464,My Strange Hero                                                                                                                                       ,2018-12-10
5381,My Lovely Sam-Soon                                                                                                                                    ,2005-06-01
75820,Mr. Sunshine                                                                                                                                          ,2018-07-07
210674,Roommates of Poongduck 304                                                                                                                            ,2022-10-13
85404,Touch Your Heart                                                                                                                                      ,2019-02-06
135652,Military Prosecutor Doberman                                                                                                                          ,2022-02-28
90721,Rookie Historian Goo Hae-Ryung                                                                                                                        ,2019-07-17
79070,Partners for Justice                                                                                                                                  ,2018-05-14
116377,Dear.M                                                                                                                                                ,2022-06-29
99494,Flower of Evil                                                                                                                                        ,2020-07-29
63767,She Was Pretty                                                                                                                                        ,2015-09-16
62511,Who Are You: School 2015                                                                                                                              ,2015-04-27
97219,"Hi Bye, Mama!                                                                                                                                         ",2020-02-22
88974,Angel's Last Mission: Love                                                                                                                            ,2019-05-22
21771,The Great Queen Seondeok                                                                                                                              ,2009-05-25
67084,Cinderella and Four Knights                                                                                                                           ,2016-08-12
93541,The Tale of Nokdu                                                                                                                                     ,2019-09-30
70626,Stranger                                                                                                                                              ,2017-06-10
110545,So Not Worth It                                                                                                                                       ,2021-06-18
209275,May I Help You                                                                                                                                        ,2022-10-19
113268,The Uncanny Counter                                                                                                                                   ,2020-11-28
76557,Welcome to Waikiki                                                                                                                                    ,2018-02-05
78385,Something in the Rain                                                                                                                                 ,2018-03-30
158715,Hope or Dope                                                                                                                                          ,2022-03-25
71349,Suspicious Partner                                                                                                                                    ,2017-05-10
61670,Healer                                                                                                                                                ,2014-12-08
78869,Clean with Passion for Now                                                                                                                            ,2018-11-26
63990,Cheer Up!                                                                                                                                             ,2015-10-05
73944,Black                                                                                                                                                 ,2017-10-14
99048,Start-Up                                                                                                                                              ,2020-10-17
116612,Beyond Evil                                                                                                                                           ,2021-02-19
72548,Are You Human?                                                                                                                                        ,2018-06-04
66082,Another Miss Oh                                                                                                                                       ,2016-05-02
98827,Backstreet Rookie                                                                                                                                     ,2020-06-19
72374,School 2017                                                                                                                                           ,2017-07-17
44632,Life Is Beautiful                                                                                                                                     ,2010-03-20
96571,Move to Heaven                                                                                                                                        ,2021-05-14
88131,High Kick: Revenge of the Short Legged                                                                                                                ,2011-09-19
80741,Familiar Wife                                                                                                                                         ,2018-08-01
62266,"Kill Me, Heal Me                                                                                                                                      ",2015-01-07
90814,Extracurricular                                                                                                                                       ,2020-04-29
64548,Cheese in the Trap                                                                                                                                    ,2016-01-04
197073,Love Is for Suckers                                                                                                                                   ,2022-10-05
67014,"Hello, My Twenties!                                                                                                                                   ",2016-07-22
70813,Fight For My Way                                                                                                                                      ,2017-05-22
66329,Doctors                                                                                                                                               ,2016-06-20
89959,Strangers From Hell                                                                                                                                   ,2019-08-31
65420,The Promise                                                                                                                                           ,2016-02-01
61324,"Su Baek-hyang, the King's Daughter                                                                                                                    ",2013-09-30
130808,The Second Husband                                                                                                                                    ,2021-08-09
152512,Love All Play                                                                                                                                         ,2022-04-20
37722,Dream High                                                                                                                                            ,2011-01-03
80965,Witch's Love                                                                                                                                          ,2018-07-25
113710,Lovestruck in the City                                                                                                                                ,2020-12-22
76662,My Mister                                                                                                                                             ,2018-03-21
209408,Bad Prosecutor                                                                                                                                        ,2022-10-05
87553,Her Private Life                                                                                                                                      ,2019-04-10
197072,Good Job                                                                                                                                              ,2022-08-24
63927,Six Flying Dragons                                                                                                                                    ,2015-10-05
122978,So I Married an Anti-Fan                                                                                                                              ,2021-04-30
136732,Sh**ting Stars                                                                                                                                        ,2022-04-22
205454,Seasons of Blossom                                                                                                                                    ,2022-09-21
77706,Noble Woman                                                                                                                                           ,2014-01-13
64770,Potato Star 2013QR3                                                                                                                                   ,2013-09-23
82237,The Beauty Inside                                                                                                                                     ,2018-10-01
62244,Angry Mom                                                                                                                                             ,2015-03-18
155222,Today's Webtoon                                                                                                                                       ,2022-07-29
20960,East of Eden                                                                                                                                          ,2008-08-26
31505,Iris                                                                                                                                                  ,2009-10-14
135840,Our Blues                                                                                                                                             ,2022-04-09
74829,Just Between Lovers                                                                                                                                   ,2017-12-11
66393,"Bring It On, Ghost                                                                                                                                    ",2016-07-11
138251,EVE                                                                                                                                                   ,2022-06-01
46596,School 2013                                                                                                                                           ,2012-12-03
64300,Ugly Alert                                                                                                                                            ,2013-05-20
67272,Shopaholic Louis                                                                                                                                      ,2016-09-21
74074,Because This Is My First Life                                                                                                                         ,2017-10-09
155231,"Link: Eat, Love, Kill                                                                                                                                 ",2022-06-06
63787,Angel Eyes                                                                                                                                            ,2014-04-05
136644,Why Her?                                                                                                                                              ,2022-06-03
126484,Rookie Cops                                                                                                                                           ,2022-01-26
106935,Kiss Goblin                                                                                                                                           ,2020-07-28
33268,"King of Baking, Kim Tak Goo                                                                                                                           ",2010-06-09
93097,When the Camellia Blooms                                                                                                                              ,2019-09-18
88463,Arthdal Chronicles                                                                                                                                    ,2019-06-01
99490,Once Again                                                                                                                                            ,2020-03-28
82298,Where Stars Land                                                                                                                                      ,2018-10-01
31417,You're Beautiful                                                                                                                                      ,2009-10-07
12539,Winter Sonata                                                                                                                                         ,2002-01-14
99654,18 Again                                                                                                                                              ,2020-09-21
99477,Find Me in Your Memory                                                                                                                                ,2020-03-18
205040,Adamas                                                                                                                                                ,2022-07-27
102971,King Maker: The Change of Destiny                                                                                                                     ,2020-05-17
76114,Radio Romance                                                                                                                                         ,2018-01-29
118932,Be My Boyfriend                                                                                                                                       ,2021-02-25
97765,School 2021                                                                                                                                           ,2021-11-24
78295,The Rich Son                                                                                                                                          ,2018-03-25
89604,One Spring Night                                                                                                                                      ,2019-05-22
28680,The King Dae Joyoung                                                                                                                                  ,2006-09-16
74821,Prison Playbook                                                                                                                                       ,2017-11-22
70455,The King in Love                                                                                                                                      ,2017-07-17
129475,Inspector Koo                                                                                                                                         ,2021-10-30
69467,The Miracle                                                                                                                                           ,2016-12-12
117896,Lovers of the Red Sky                                                                                                                                 ,2021-08-30
119464,Navillera                                                                                                                                             ,2021-03-22
99478,Memorist                                                                                                                                              ,2020-03-11
71871,The Best Hit                                                                                                                                          ,2017-06-02
57646,Master's Sun                                                                                                                                          ,2013-08-07
61786,Pride and Prejudice                                                                                                                                   ,2014-10-27
200945,May It Please the Court                                                                                                                               ,2022-09-21
97565,Forest                                                                                                                                                ,2020-01-29
196268,Anna                                                                                                                                                  ,2022-06-24
62267,Beating Again                                                                                                                                         ,2015-04-03
77284,Tempted                                                                                                                                               ,2018-03-12
72851,Live Up To Your Name                                                                                                                                  ,2017-08-12
83634,Memories of the Alhambra                                                                                                                              ,2018-12-01
84353,A Pledge to God                                                                                                                                       ,2018-11-24
135154,If You Wish Upon Me                                                                                                                                   ,2022-08-10
113965,She Would Never Know                                                                                                                                  ,2021-01-18
71795,Criminal Minds                                                                                                                                        ,2017-07-26
44821,The Great Doctor                                                                                                                                      ,2012-08-13
46553,Reply 1997                                                                                                                                            ,2012-07-24
204625,Bad Girlfriend                                                                                                                                        ,2022-07-05
36742,Hello My Teacher                                                                                                                                      ,2005-04-13
80964,Time                                                                                                                                                  ,2018-07-25
119769,Taxi Driver                                                                                                                                           ,2021-04-09
95484,Stove League                                                                                                                                          ,2019-12-13
63311,Yong Pal                                                                                                                                              ,2015-08-05
66240,The Flower in Prison                                                                                                                                  ,2016-04-30
40028,Scent of a Woman                                                                                                                                      ,2011-07-23
137520,Bulgasal: Immortal Souls                                                                                                                              ,2021-12-18
65728,Marriage Contract                                                                                                                                     ,2016-03-05
