id,name_series,airing_date 
38861,49 Days                                                                                                                                               ,2011-03-16
99479,365: Repeat the Year                                                                                                                                  ,2020-03-23
71328,Sea of the Woman                                                                                                                                      ,2017-02-27
87615,Mother of Mine                                                                                                                                        ,2019-03-23
43152,Rooftop Prince                                                                                                                                        ,2012-03-21
96161,Was It Love?                                                                                                                                          ,2020-07-08
14807,Autumn in My Heart                                                                                                                                    ,2000-09-18
116045,"Hello, Me!                                                                                                                                            ",2021-02-17
64127,EXO Next Door                                                                                                                                         ,2015-04-09
197084,Gaus Electronics                                                                                                                                      ,2022-09-30
63692,I Have a Lover                                                                                                                                        ,2015-08-22
61890,"Hyde, Jekyll, Me                                                                                                                                      ",2015-01-21
87187,Doctor Prisoner                                                                                                                                       ,2019-03-20
61814,Spy                                                                                                                                                   ,2015-01-09
61678,Incomplete Life                                                                                                                                       ,2014-10-17
135654,Again My Life                                                                                                                                         ,2022-04-08
125350,Mad for Each Other                                                                                                                                    ,2021-05-24
67485,The Gentlemen of Wolgyesu Tailor Shop                                                                                                                 ,2016-08-27
104972,My Wonderful Life                                                                                                                                     ,2020-06-29
131026,Dali & the Cocky Prince                                                                                                                               ,2021-09-22
43083,Big                                                                                                                                                   ,2012-06-04
38852,Dong Yi                                                                                                                                               ,2010-03-22
67276,On the Way to the Airport                                                                                                                             ,2016-09-21
62409,Hwajung                                                                                                                                               ,2015-04-13
46528,The King 2 Hearts                                                                                                                                     ,2012-03-21
83836,Dokgo Rewind                                                                                                                                          ,2018-09-07
20924,Capital Scandal                                                                                                                                       ,2007-06-06
114149,Royal Secret Agent                                                                                                                                    ,2020-12-21
154887,My Liberation Notes                                                                                                                                   ,2022-04-09
70194,My Father is Strange                                                                                                                                  ,2017-03-04
71748,Queen For Seven Days                                                                                                                                  ,2017-05-31
135895,Kiss Sixth Sense                                                                                                                                      ,2022-05-25
126436,"At a Distance, Spring is Green                                                                                                                        ",2021-06-14
135272,Tracer                                                                                                                                                ,2022-01-07
127651,The Witch's Diner                                                                                                                                     ,2021-07-16
79069,Sunny Again Tomorrow                                                                                                                                  ,2018-05-07
33544,My Girlfriend Is a Gumiho                                                                                                                             ,2010-08-11
82063,My Only One                                                                                                                                           ,2018-09-15
121695,Sell Your Haunted House                                                                                                                               ,2021-04-14
68990,12 Years Promise                                                                                                                                      ,2014-03-22
64529,High-End Crush                                                                                                                                        ,2015-11-14
155224,Jinxed At First                                                                                                                                       ,2022-06-15
110533,Jirisan                                                                                                                                               ,2021-10-23
21544,My Fair Lady                                                                                                                                          ,2009-08-19
44804,Five Fingers                                                                                                                                          ,2012-08-18
94083,"Beautiful Love, Wonderful Life                                                                                                                        ",2019-09-28
75065,Love Returns                                                                                                                                          ,2017-11-13
65895,"My Lawyer, Mr. Jo                                                                                                                                     ",2016-03-28
62925,The Time We Were Not in Love                                                                                                                          ,2015-06-27
89642,Chief of Staff                                                                                                                                        ,2019-06-14
109629,Homemade Love Story                                                                                                                                   ,2020-09-19
78797,Wok of Love                                                                                                                                           ,2018-05-07
65412,Come Back Alive                                                                                                                                       ,2016-02-24
83601,Top Management                                                                                                                                        ,2018-10-30
47089,Nine: Nine Time Travels                                                                                                                               ,2013-03-11
62078,Blood                                                                                                                                                 ,2015-02-16
64040,"My Daughter, Geum Sa-Wol                                                                                                                              ",2015-09-05
46002,Missing You                                                                                                                                           ,2012-11-07
88398,The Nokdu Flower                                                                                                                                      ,2019-04-26
133670,"Work Later, Drink Now                                                                                                                                 ",2021-10-22
78060,A Poem A Day                                                                                                                                          ,2018-03-26
83941,Encounter                                                                                                                                             ,2018-11-28
52720,Mackerel Run                                                                                                                                          ,2007-05-12
82536,Real Men 300                                                                                                                                          ,2018-09-21
146102,Through the Darkness                                                                                                                                  ,2022-01-14
131028,Thirty-Nine                                                                                                                                           ,2022-02-16
97766,Rugal                                                                                                                                                 ,2020-03-28
132925,The Red Sleeve                                                                                                                                        ,2021-11-12
82102,Devilish Joy                                                                                                                                          ,2018-09-05
119773,Law School                                                                                                                                            ,2021-04-14
17039,Emperor Wang Gun                                                                                                                                      ,2000-04-01
90403,WATCHER                                                                                                                                               ,2019-07-06
70439,You Are Too Much                                                                                                                                      ,2017-03-04
66387,Beautiful Mind                                                                                                                                        ,2016-06-20
35772,Tree of Heaven                                                                                                                                        ,2006-02-08
119466,Youth of May                                                                                                                                          ,2021-05-03
62863,High Society                                                                                                                                          ,2015-06-08
84327,SKY Castle                                                                                                                                            ,2018-11-23
135786,Monstrous                                                                                                                                             ,2022-04-29
61150,Cunning Single Lady                                                                                                                                   ,2014-02-27
138663,Café Minamdang                                                                                                                                        ,2022-06-27
74831,Judge vs. Judge                                                                                                                                       ,2017-11-22
115663,To My Star                                                                                                                                            ,2021-01-22
97220,Nobody Knows                                                                                                                                          ,2020-03-02
86640,Possessed                                                                                                                                             ,2019-03-06
65612,"Yeah, That's How It Is                                                                                                                                ",2016-02-13
44956,Bridal Mask                                                                                                                                           ,2012-05-30
90720,Be Melodramatic                                                                                                                                       ,2019-08-09
44969,The Innocent Man                                                                                                                                      ,2012-09-12
70123,New Journey to the West                                                                                                                               ,2015-09-04
67483,Blow Breeze                                                                                                                                           ,2016-08-27
70193,Ms. Perfect                                                                                                                                           ,2017-02-27
86546,The Light in Your Eyes                                                                                                                                ,2019-02-11
85405,The Crowned Clown                                                                                                                                     ,2019-01-07
77548,Suits                                                                                                                                                 ,2018-04-25
61136,Bel Ami                                                                                                                                               ,2013-11-20
74114,Witch's Court                                                                                                                                         ,2017-10-09
71564,Duel                                                                                                                                                  ,2017-06-03
83755,Hymn of Death                                                                                                                                         ,2018-11-27
77287,The Good Witch                                                                                                                                        ,2018-03-03
68177,Iris II                                                                                                                                               ,2013-02-13
86094,Haechi                                                                                                                                                ,2019-02-11
18493,Temptation of Wife                                                                                                                                    ,2008-11-03
39273,The Greatest Love                                                                                                                                     ,2011-05-04
116708,Imitation                                                                                                                                             ,2021-05-07
137872,Soundtrack #1                                                                                                                                         ,2022-03-23
85412,Left-Handed Wife                                                                                                                                      ,2019-01-02
154523,The King of Pigs                                                                                                                                      ,2022-03-18
96977,When the Weather is Fine                                                                                                                              ,2020-02-24
91902,Graceful Family                                                                                                                                       ,2019-08-21
87302,He Is Psychometric                                                                                                                                    ,2019-03-11
70525,What Happens to My Family?                                                                                                                            ,2014-08-16
68891,Missing Nine                                                                                                                                          ,2017-01-18
108290,Love Revolution                                                                                                                                       ,2020-09-01
101858,Brilliant Heritage                                                                                                                                    ,2020-04-20
68892,The Rebel                                                                                                                                             ,2017-01-30
68947,Chief Kim                                                                                                                                             ,2017-01-25
68410,White Nights                                                                                                                                          ,2016-11-21
156854,Kissable Lips                                                                                                                                         ,2022-02-03
135655,Insider                                                                                                                                               ,2022-06-08
72707,My Golden Life                                                                                                                                        ,2017-09-02
86824,Designated Survivor: 60 Days                                                                                                                          ,2019-07-01
79991,Life                                                                                                                                                  ,2018-07-23
78052,Marry Me Now                                                                                                                                          ,2018-03-17
119368,Oh! Master                                                                                                                                            ,2021-03-24
81745,Hide and Seek                                                                                                                                         ,2018-08-25
212594,She Makes My Heart Flutter                                                                                                                            ,2022-10-20
100857,Born Again                                                                                                                                            ,2020-04-20
32437,Athena: Goddess of War                                                                                                                                ,2010-12-13
68945,The Sound of Your Heart                                                                                                                               ,2016-11-07
157214,Cherry Blossoms After Winter                                                                                                                          ,2022-02-24
72396,Strongest Deliveryman                                                                                                                                 ,2017-08-04
70220,The Package                                                                                                                                           ,2017-10-13
87811,Persona                                                                                                                                               ,2019-04-11
68815,Solomon's Perjury                                                                                                                                     ,2016-12-16
76715,Misty                                                                                                                                                 ,2018-02-02
100941,My Unfamiliar Family                                                                                                                                  ,2020-06-01
61799,Punch                                                                                                                                                 ,2014-12-15
101906,Fix You                                                                                                                                               ,2020-05-06
65187,One More Happy Ending                                                                                                                                 ,2016-01-20
66434,Dear My Friends                                                                                                                                       ,2016-05-13
47091,"That Winter, the Wind Blows                                                                                                                           ",2013-02-13
21013,Iljimae                                                                                                                                               ,2008-05-21
46536,Cheongdam Dong Alice                                                                                                                                  ,2012-12-01
115538,Color Rush                                                                                                                                            ,2020-12-30
87022,Love in Sadness                                                                                                                                       ,2019-02-23
46592,7th Grade Civil Servant                                                                                                                               ,2013-01-23
63203,Endless Love                                                                                                                                          ,2014-06-21
32784,Bad Guy                                                                                                                                               ,2010-05-26
100595,When My Love Blooms                                                                                                                                   ,2020-04-25
79342,Miss Hammurabi                                                                                                                                        ,2018-05-21
61208,Miss Korea                                                                                                                                            ,2013-12-18
62763,"It's Okay, That's Love                                                                                                                                ",2014-07-23
70195,Radiant Office                                                                                                                                        ,2017-03-15
90407,At Eighteen                                                                                                                                           ,2019-07-22
62614,Medical Top Team                                                                                                                                      ,2013-10-09
3262,All About Eve                                                                                                                                         ,2000-04-26
63220,Operation Proposal                                                                                                                                    ,2012-02-08
102293,Dinner Mate                                                                                                                                           ,2020-05-25
75382,Enemies from the Past                                                                                                                                 ,2017-11-27
106465,Do Do Sol Sol La La Sol                                                                                                                               ,2020-10-07
5717,Hur Jun                                                                                                                                               ,1999-11-22
81822,The Guest                                                                                                                                             ,2018-09-12
24165,Ladies of the Palace                                                                                                                                  ,2001-02-05
84055,Fate and Fury                                                                                                                                         ,2018-12-01
99491,Mystic Pop-up Bar                                                                                                                                     ,2020-05-20
72821,All Kinds of Daughters-in-Law                                                                                                                         ,2017-06-05
129887,"Now, We Are Breaking Up                                                                                                                               ",2021-11-12
99480,The Good Detective                                                                                                                                    ,2020-07-06
87405,Beautiful World                                                                                                                                       ,2019-04-04
79566,Sketch                                                                                                                                                ,2018-05-25
65260,Witch's Castle                                                                                                                                        ,2015-12-14
79238,Come and Hug Me                                                                                                                                       ,2018-05-16
61739,Blade Man                                                                                                                                             ,2014-09-10
8012,Beethoven Virus                                                                                                                                       ,2008-09-10
135753,Love Twist                                                                                                                                            ,2021-12-13
95110,Hyena                                                                                                                                                 ,2020-02-21
62271,Fool's Love                                                                                                                                           ,2015-02-09
62607,Love From Today                                                                                                                                       ,2015-04-06
57788,"Hur Jun, The Original Story                                                                                                                           ",2013-03-18
110267,Strange School Tales                                                                                                                                  ,2020-09-05
31424,The Slave Hunters                                                                                                                                     ,2010-01-06
90736,Love Affairs in the Afternoon                                                                                                                         ,2019-07-05
204694,Mimicus                                                                                                                                               ,2022-07-22
62806,Mask                                                                                                                                                  ,2015-05-27
64487,Remember                                                                                                                                              ,2015-12-09
80959,Your Honor                                                                                                                                            ,2018-07-25
135195,The All-Round Wife                                                                                                                                    ,2021-10-04
116671,Miss Monte-Cristo                                                                                                                                     ,2021-02-15
44787,Shut Up Flower Boy Band                                                                                                                               ,2012-01-30
84371,Gangnam Scandal                                                                                                                                       ,2018-11-26
87409,The Banker                                                                                                                                            ,2019-03-27
81332,Lovely Horribly                                                                                                                                       ,2018-08-13
197352,"Bravo, My Life                                                                                                                                        ",2022-04-11
76242,Return                                                                                                                                                ,2018-01-17
63910,D-Day                                                                                                                                                 ,2015-09-18
61488,Secret Door                                                                                                                                           ,2014-09-22
110658,The Spies Who Loved Me                                                                                                                                ,2020-10-21
112834,Reflection of You                                                                                                                                     ,2021-10-13
42389,Vampire Prosecutor                                                                                                                                    ,2011-10-02
65746,Goodbye Mr. Black                                                                                                                                     ,2016-03-16
61544,Bride of the Century                                                                                                                                  ,2014-02-22
87185,Kill It                                                                                                                                               ,2019-03-23
14012,Sad Love Story                                                                                                                                        ,2005-01-05
71250,Band of Sisters                                                                                                                                       ,2017-04-15
18867,The Iron Empress                                                                                                                                      ,2009-01-03
40016,Warrior Baek Dong Soo                                                                                                                                 ,2011-07-04
99112,A Piece of Your Mind                                                                                                                                  ,2020-03-23
41652,Tree with Deep Roots                                                                                                                                  ,2011-10-05
97488,The Cursed                                                                                                                                            ,2020-02-10
85541,Tower of Babel                                                                                                                                        ,2019-01-27
95067,Black Dog                                                                                                                                             ,2019-12-16
85701,Legal High                                                                                                                                            ,2019-02-08
65806,Monster                                                                                                                                               ,2016-03-28
76092,Mother                                                                                                                                                ,2018-01-24
67856,Sweet Stranger and Me                                                                                                                                 ,2016-10-24
91798,Lily Fever                                                                                                                                            ,2015-12-15
34000,The Fugitive: Plan B                                                                                                                                  ,2010-09-29
38849,Loving You a Thousand Times                                                                                                                           ,2009-08-29
39198,Heartstrings                                                                                                                                          ,2011-06-29
82444,Heart Surgeons                                                                                                                                        ,2018-09-27
61143,God's Gift - 14 Days                                                                                                                                  ,2014-03-03
69923,Thumping Spike                                                                                                                                        ,2016-02-20
69975,The Emperor: Owner of the Mask                                                                                                                        ,2017-05-10
71497,Woman of Dignity                                                                                                                                      ,2017-06-16
90335,Doctor Detective                                                                                                                                      ,2019-07-17
92732,Flower Crew: Joseon Marriage Agency                                                                                                                   ,2019-09-16
38971,Cain and Abel                                                                                                                                         ,2009-02-18
68882,Love is Drop By Drop                                                                                                                                  ,2016-11-28
83940,Children of Nobody                                                                                                                                    ,2018-11-21
135605,Uncle                                                                                                                                                 ,2021-12-11
63955,The Merchant: Gaekju 2015                                                                                                                             ,2015-09-23
130789,One Ordinary Day                                                                                                                                      ,2021-11-27
50720,Monstar                                                                                                                                               ,2013-05-17
51866,The Goddess of Fire                                                                                                                                   ,2013-07-01
41331,Miss Ripley                                                                                                                                           ,2011-05-30
68426,You Are a Gift                                                                                                                                        ,2016-06-13
27827,Money Game                                                                                                                                            ,2020-01-15
78446,The Miracle We Met                                                                                                                                    ,2018-04-02
79703,Goodbye to Goodbye                                                                                                                                    ,2018-05-26
67615,Wonderful Days                                                                                                                                        ,2014-02-22
84448,Less than Evil                                                                                                                                        ,2018-12-03
137408,Shadow Beauty                                                                                                                                         ,2021-11-20
49129,The Fugitive of Joseon                                                                                                                                ,2013-04-24
113623,Bossam: Steal the Fate                                                                                                                                ,2021-05-01
96041,Tell Me What You Saw                                                                                                                                  ,2020-02-01
64061,Bubblegum                                                                                                                                             ,2015-10-26
95984,Bad Love                                                                                                                                              ,2019-12-02
65714,Happy Home                                                                                                                                            ,2016-02-27
120057,Monthly Magazine Home                                                                                                                                 ,2021-06-16
121135,Be My Dream Family                                                                                                                                    ,2021-03-29
152471,Ghost Doctor                                                                                                                                          ,2022-01-03
42039,Love Rain                                                                                                                                             ,2012-03-26
136733,Bloody Heart                                                                                                                                          ,2022-05-02
62838,My Love Eun Dong                                                                                                                                      ,2015-05-29
128586,Blue Birthday                                                                                                                                         ,2021-07-23
6702,Hwang Jin Yi                                                                                                                                          ,2006-10-11
78583,Mistress                                                                                                                                              ,2018-04-28
95066,Chocolate                                                                                                                                             ,2019-11-29
14085,King Sejong the Great                                                                                                                                 ,2008-01-05
53095,Two Weeks                                                                                                                                             ,2013-08-07
38589,Princess Ja Myung                                                                                                                                     ,2009-03-10
64826,Love in Her Bag                                                                                                                                       ,2013-08-05
67274,Drinking Solo                                                                                                                                         ,2016-09-05
65846,Babysitter                                                                                                                                            ,2016-03-14
